,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2019/2/12,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/13,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/14,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/15,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/18,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/19,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/20,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/21,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/22,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/25,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/26,50ETF购2015年3月2.20,认购,2.2,2015/3/25 0:00,0.4007
2019/2/1,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/11,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/12,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/13,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/14,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/15,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/18,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/19,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/20,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/21,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/22,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/25,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/26,50ETF购2015年3月2.25,认购,2.25,2015/3/25 0:00,0.356
2019/2/1,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
2019/2/11,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
2019/2/12,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
2019/2/13,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
2019/2/14,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
2019/2/15,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
2019/2/18,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
2019/2/19,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
2019/2/20,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
2019/2/21,50ETF购2015年3月2.30,认购,2.3,2015/3/25 0:00,0.302
