DateTime,1D,1W,2W,1M,3M,6M,9M,1Y
2019-03-20,2.714,2.711,2.946,2.875,2.833,2.865,2.962,3.088
2019-03-19,2.666,2.729,2.991,2.852,2.823,2.865,2.96,3.086
2019-03-18,2.756,2.709,2.861,2.832,2.814,2.86,2.958,3.082
2019-03-15,2.655,2.728,2.617,2.81,2.799,2.858,2.956,3.077
2019-03-14,2.31,2.598,2.48,2.774,2.777,2.854,2.953,3.072
2019-03-13,2.079,2.493,2.461,2.754,2.768,2.851,2.95,3.066
2019-03-12,2.365,2.601,2.458,2.732,2.761,2.851,2.95,3.066
2019-03-11,2.092,2.395,2.4328,2.7172,2.7565,2.85,2.95,3.06
2019-03-08,2.047,2.388,2.448,2.712,2.755,2.85,2.95,3.057
2019-03-07,2.06,2.517,2.487,2.705,2.751,2.85,2.95,3.054
2019-03-06,2.074,2.488,2.488,2.703,2.75,2.85,2.95,3.053
2019-03-05,2.266,2.574,2.49,2.699,2.75,2.85,2.95,3.055
2019-03-04,1.933,2.38,2.424,2.696,2.75,2.85,2.95,3.058
2019-03-01,2.155,2.511,2.565,2.7,2.75,2.85,2.95,3.059
2019-02-28,2.584,2.658,2.73,2.694,2.751,2.85,2.951,3.06
2019-02-27,2.654,2.75,2.887,2.686,2.756,2.852,2.954,3.061
2019-02-26,2.705,2.745,2.862,2.681,2.756,2.851,2.953,3.059
2019-02-25,2.605,2.658,2.628,2.659,2.752,2.85,2.953,3.059
2019-02-22,2.431,2.6,2.518,2.656,2.749,2.854,2.955,3.063
2019-02-21,2.03,2.399,2.409,2.651,2.749,2.858,2.958,3.063
2019-02-20,1.854,2.377,2.398,2.655,2.759,2.864,2.966,3.069
