指标名称,SHIBOR:隔夜,SHIBOR:1周,SHIBOR:2周,SHIBOR:1个月,SHIBOR:3个月,SHIBOR:6个月,SHIBOR:9个月,SHIBOR:1年
频率,日,日,日,日,日,日,日,日
2019-02-01,2.1000 ,2.7220 ,2.8430 ,2.8350 ,2.9000 ,3.0170 ,3.1680 ,3.2410 
2019-02-02,2.2640 ,2.3720 ,2.5710 ,2.8190 ,2.9000 ,3.0110 ,3.1430 ,3.2180 
2019-02-03,2.0860 ,2.3340 ,2.4700 ,2.8080 ,2.9000 ,3.0060 ,3.1330 ,3.2020 
2019-02-11,2.2650 ,2.5960 ,2.5220 ,2.7850 ,2.8980 ,2.9950 ,3.1180 ,3.1980 
2019-02-12,2.0170 ,2.5130 ,2.4970 ,2.7600 ,2.8720 ,2.9610 ,3.0790 ,3.1720 
2019-02-13,1.7220 ,2.3620 ,2.4420 ,2.7320 ,2.8520 ,2.9380 ,3.0440 ,3.1460 
2019-02-14,1.7210 ,2.3300 ,2.3970 ,2.7140 ,2.8300 ,2.9080 ,3.0150 ,3.1190 
2019-02-15,1.7130 ,2.3510 ,2.3930 ,2.6980 ,2.8020 ,2.8980 ,2.9960 ,3.0950 
2019-02-18,1.8224 ,2.3950 ,2.3980 ,2.6870 ,2.7970 ,2.8850 ,2.9890 ,3.0810 
2019-02-19,1.9670 ,2.3980 ,2.4040 ,2.6760 ,2.7780 ,2.8760 ,2.9790 ,3.0730 
2019-02-20,1.8540 ,2.3770 ,2.3980 ,2.6550 ,2.7590 ,2.8640 ,2.9660 ,3.0690 
2019-02-21,2.0300 ,2.3990 ,2.4090 ,2.6510 ,2.7490 ,2.8580 ,2.9580 ,3.0630 
2019-02-22,2.4310 ,2.6000 ,2.5180 ,2.6560 ,2.7490 ,2.8540 ,2.9550 ,3.0630 
2019-02-25,2.6050 ,2.6580 ,2.6280 ,2.6590 ,2.7520 ,2.8500 ,2.9530 ,3.0590 
2019-02-26,2.7050 ,2.7450 ,2.8620 ,2.6810 ,2.7560 ,2.8510 ,2.9530 ,3.0590 
,,,,,,,,
数据来源：Wind,,,,,,,,
